职位名称,薪酬,城市地区,工作经验要求,学历要求,关键词,公司名称,规模类型,公司标签
总部经济销售顾问,8千-1.5万·13薪,杭州·临平区,3-4年,本科,"五险一金
餐饮补贴
绩效奖金
年终奖金
定期体检
节假日福利",浙江牛领数字技术有限公司,民营  |  50-150人,影视/媒体/艺术/文化传播
经济研究员（双休）,7千-1.2万,广州·天河区,1年,大专,"资产管理
经济研究
金融
投融资
投资
理财
项目
弹性工作
绩效奖金
周末双休
生日福利
节日福利
定期团建
员工旅游
专业培训
地铁周边
环境优质",广东致远蓝图项目管理有限公司,民营  |  50-150人,金融/投资/证券
项目财务经理（经济型V车项目）,1.5-2.5万,深圳·福田区,5-7年,本科,"预算管理
财务分析
财务建模
成本管控
经营预测
投融资
汽车研发
五险一金
年终奖金
弹性工作
股票期权
绩效奖金
专业培训",伟盈新能源科技（无锡）有限公司深圳分公司,民营  ,计算机软件
宏观经济研究/数据分析助理,1-2万,上海·杨浦区,1年,硕士,"宏观经济
研究
行研
数据
数据分析",上海九鞅投资管理合伙企业（有限合伙）,创业公司  |  少于50人,金融/投资/证券
社区经济岗（赣州地区）,6-8万/年,赣州·章贡区,1年,大专,"五险一金
免费午餐
专业培训
定期体检
弹性工作
绩效奖金
周末双休
资产运营
社区经济
公共资产运营
多种经营",中海物业管理有限公司武汉分公司,已上市  |  10000人以上,房地产
总部经济专员（湖州长兴）(J10162),1-1.5万,湖州·长兴县,1年,本科,"五险一金
年终奖金
绩效奖金
快速发展
行业领先
重点项目
发展空间大
B端销售
销售
商务谈判",谷川联行有限公司,民营  |  500-1000人,多元化业务集团公司
产业和经济咨询顾问,1-1.5万,北京·西城区,3-4年,本科,"区域规划
产业定位
招商顾问
战略咨询
五险一金
专业培训
出国机会",邦城规划顾问（苏州工业园区）有限公司,合资  |  150-500人,专业服务(咨询、人力资源、财会)
咨询研究员（经济形势分析方向）,15-20万/年,上海·虹口区,无需经验,硕士,"经济形势研究
咨询顾问
五险一金
补充公积金
交通补贴
餐饮补贴
通讯补贴
定期体检
年终奖金",上海福睿智库顾问有限公司,民营  |  少于50人,专业服务(咨询、人力资源、财会)
经济管理,20-40万/年,云浮,3-4年,本科,,中电建（云浮）新材料有限公司,国企  |  150-500人,石油/化工/矿产/地质
经济研究员（经济分析师）,8-15万/年,上海·黄浦区,2年,硕士,"研究报告撰写
经济学
哲学
文笔好
五险一金
员工旅游
绩效奖金
年终奖金
定期体检
餐费补贴",上海福卡经济预测研究所有限公司,民营  |  50-150人,学术/科研
经济学老师,1.7-2万,佛山,3-4年,本科,"经济学
商科
会计",成都宜可睿科技有限公司,外资（欧美）  |  少于50人,专业服务(咨询、人力资源、财会)
产业经济研究员,8千-1.3万,深圳·福田区,无需经验,本科,"数据分析
调研
绩效奖金
专业培训
五险一金",王牌智库（深圳）有限公司,民营  |  50-150人,专业服务(咨询、人力资源、财会)
培训讲师/老师（中级经济师）,500元/天,西安·碑林区,5-7年,本科,"人力资源
会计
经济师",陕西天地财务集团有限公司,民营  |  150-500人,多元化业务集团公司
经济分析师 Analyst APAC Macroeconomic research,1-1.5万,杭州,2年,硕士,"宏观经济金融
周末双休
弹性工作
带薪年假
五险一金
节日福利
专业培训
加班补贴",克里赛尔易莱纳信息技术（杭州)有限公司,外资（非欧美）  |  500-1000人,金融/投资/证券
国际双语经济学老师,1.7-2万,佛山,3-4年,本科,"经济学
商科
会计",成都宜可睿科技有限公司,外资（欧美）  |  少于50人,专业服务(咨询、人力资源、财会)
高级行业分析师,1.2-2.4万,上海·浦东新区,2年,硕士,"项目筛选
战略规划
评估报告
尽调分析
项目研究
基本面分析
英语听说读写
财务分析",杭州链杉经济信息咨询有限公司,民营  |  少于50人,金融/投资/证券
总部经济招商专员（武汉）,6-8千,武汉·江岸区,1年,本科,"专业培训
周末双休
带薪年假
五险一金
节日福利
绩效奖金
高温补贴
销售",谷川联行有限公司,民营  |  500-1000人,多元化业务集团公司
金融/经济分析师 Research Analyst (RA),10-15万/年,杭州,2年,硕士,,克里赛尔易莱纳信息技术（杭州)有限公司,外资（非欧美）  |  500-1000人,金融/投资/证券
低碳经济研究员（低碳/节能/环境咨询）,8千-1.5万,北京·朝阳区,1年,硕士,"低碳研究员
碳核查
碳足迹
碳排放
碳排放管理师
低碳技术
能源管理
标准化工程师
低碳
环保
绩效奖金
专业培训
通讯补贴
员工旅游
五险一金
交通补贴",中国电子节能技术协会低碳经济专业委员会,非营利组织  |  少于50人,环保
经济副总经理,2.5-3.5万,广州·天河区,8-9年,本科,"造价
审计
成本
五险
节日福利",广东中发工程建设有限公司,民营  |  150-500人,建筑/建材/工程
项目总经济师（机电项目）,1.2-1.7万,南京,5-7年,本科,"结算
机电项目
五险一金
餐饮补贴
专业培训
定期体检
弹性工作
高温补贴
绩效奖金",中国电子系统工程第二建设有限公司-十一公司,国企  |  50-150人,建筑/建材/工程
经济分析师 Analyst APAC Macroeconomic research,1-1.5万,杭州,2年,硕士,"宏观经济金融
周末双休
弹性工作
带薪年假
五险一金
节日福利
专业培训
加班补贴",克里赛尔易莱纳信息技术（杭州)有限公司,外资（非欧美）  |  500-1000人,金融/投资/证券
产业经济研究,7千-1.4万,西安,1年,硕士,"产业经济研究
互联网
数字化
五险一金
专业培训
年终奖金
员工旅游",广东铭太信息科技有限公司,民营  |  150-500人,计算机软件
数字经济规划研究助理,7千-1.2万,重庆,无需经验,本科,"五险一金
餐饮补贴
年终奖金
定期体检
绩效奖金
专业培训
补充医疗保险",重庆信息通信研究院,事业单位  |  150-500人,通信/电信/网络设备
双语经济学老师,1.4-2.8万,深圳·大鹏新区,1年,本科,"五险一金
免费班车
带薪寒暑假
免费工作餐
提供住宿",深圳市大鹏新区瑞得福培训学校,民营  |  50-150人,教育/培训/院校
全盘会计,6-9千·13薪,珠海,2年,大专,"全盘会计
资金管理
报销费用
五险一金
年终奖金
交通补贴
绩效奖金
定期体检
员工旅游
餐饮补贴",珠海经济特区顺益发展有限公司,民营  |  150-500人,机械/设备/重工
双语经济教师,1-2万,苏州·吴江区,2年,本科,"双语经济老师
英语
五险一金
补充医疗保险
餐饮补贴
绩效奖金
定期体检",苏州市吴江区世恒学校,非营利组织  |  150-500人,教育/培训/院校
数字经济规划研究员,7千-1.2万,重庆·南岸区,无需经验,本科,"五险一金
餐饮补贴
绩效奖金
年终奖金
定期体检
专业培训
补充医疗保险",重庆信息通信研究院,事业单位  |  150-500人,通信/电信/网络设备
经济咨询主管,1.2-1.5万,成都·金牛区,3-4年,本科,"咨询顾问
五险一金
员工旅游
年终奖金
绩效奖金",四川中鼎汇智社会经济咨询有限公司,民营  |  50-150人,学术/科研
技术经济岗,2.5-4万,上海,3-4年,硕士,"五险一金
企业年金
补充医疗保险
意外伤害保险
通讯补贴
年度体检
员工食堂",北京外企人力资源服务有限公司,国企  |  10000人以上,专业服务(咨询、人力资源、财会)
经济贸易学院专任教师,1.1-1.6万,广州·增城区,3-4年,硕士,"经济
金融
统计
国际贸易
大学教师
周末双休
年终双薪
奖金丰厚
节日福利
提供班车
五险一金
年终奖金
餐饮补贴
交通补贴
定期体检
绩效奖金
补充医疗保险
周末双休
节日福利",广州华商学院,非营利组织  |  500-1000人,教育/培训/院校
金融/经济研究员,8千-1.2万,东营,1年,高中,"销售代表
销售
渠道销售
客户代表
直销销售
电话销售
业务员
金融销售专员
销售顾问
区域销售
做五休二
五险一金
全勤奖
带薪年假
节日福利",厦门云汇泽网络科技有限公司,民营  |  少于50人,互联网/电子商务
经济咨询主管,6千-1.2万,成都·金牛区,3-4年,本科,"五险一金
员工旅游
交通补贴
年终奖金
绩效奖金",四川中鼎汇智社会经济咨询有限公司,民营  |  50-150人,学术/科研
产业经济学专业工程师,1-1.5万,武汉·武昌区,2年,硕士,"五险一金
补充医疗保险
补充公积金
餐饮补贴
交通补贴
绩效奖金
年终奖金
股票期权
定期体检
通讯补贴",湖北省工程咨询股份有限公司,国企  |  150-500人,专业服务(咨询、人力资源、财会)
商务顾问（总部经济方向）,4-8千,重庆·渝北区,无需经验,大专,"财税
大客户销售
咨询
电话呼出
邀约拜访
客户拜访
税务师事务所
客户跟进
销售
数据收集
五险
年底双薪
定期团建
年终奖励
定期体检
24小时食品区
下午茶
专业培训体系
年底分红
周末双休",重庆正仁企业管理有限公司,民营  |  150-500人,专业服务(咨询、人力资源、财会)
招商经理（总部经济）,1.5-2.5万,上海·浦东新区,2年,本科,"五险一金
餐饮补贴
专业培训
绩效奖金
年终奖金
定期体检
通讯补贴
项目奖金
免费班车
产业招商
总部经济",上海瑞谷拜特软件技术有限公司,民营  |  150-500人,计算机软件
经济学教师,7千-1.2万,福州·连江县,无需经验,硕士,"五险一金
免费班车
餐饮补贴
弹性工作
寒暑假带薪
教职工公寓
节日津贴",福州理工学院,非营利组织  |  150-500人,教育/培训/院校
研究员（经济）,1.2-1.6万,上海·松江区,3-4年,本科,"五险一金
年终奖金
绩效奖金
定期体检
补充医疗保险",上海数喆数据科技有限公司,民营  |  150-500人,专业服务(咨询、人力资源、财会)
战略规划师(经济规划师),1-1.8万,重庆·渝北区,3-4年,本科,"国民经济规划
产业规划
园区规划
工作日午餐
周末双休",重庆图强工程技术咨询有限公司,民营  |  150-500人,建筑/建材/工程
数字经济高级工程师/工程师,1-2万·14薪,南昌·青山湖区,3-4年,硕士,"五险一金
餐饮补贴
通讯补贴
专业培训
绩效奖金
年终奖金
定期体检
弹性工作",信通院（江西）科技创新研究院有限公司,国企  |  少于50人,通信/电信/网络设备
口岸经济研究岗,8-12万/年,昆明·官渡区,无需经验,本科,"课题研究
咨询研究
专业培训
绩效奖金
定期体检
带薪年假
节日生日福利
五险一金",云南省国际贸易学会,非营利组织  |  少于50人,政府/公共事业
研究员（国防经济方向）,1-2万,北京·海淀区,2年,硕士,"数据分析
市场调研
调研
分析
五险一金
带薪年假
餐饮补贴
周末双休
节日福利
团建旅游
定期体检
老板好",北京鹍鹏科创科技发展有限公司,民营  |  50-150人,计算机软件
经济咨询项目经理,6千-1.2万,成都·金牛区,3-4年,本科,"五险一金
员工旅游
年终奖金
绩效奖金",四川中鼎汇智社会经济咨询有限公司,民营  |  50-150人,学术/科研
经济与资金管理岗,18-22万/年,上海·杨浦区,5-7年,本科,五险一金,上海城建数字产业集团有限公司,国企  |  50-150人,建筑/建材/工程
区域经济与国际贸易研究岗,8-12万/年,昆明·官渡区,无需经验,硕士,"国际贸易
区域经济
课题研究
规划编制
决策咨询
专业培训
绩效奖金
定期体检
带薪年假
节日生日福利
五险一金",云南省国际贸易学会,非营利组织  |  少于50人,政府/公共事业
婺源中心副主任/数字经济高级工程师,1.2-2万,上饶,5-7年,本科,"五险一金
餐饮补贴
通讯补贴
专业培训
绩效奖金
年终奖金
弹性工作
定期体检",信通院（江西）科技创新研究院有限公司,国企  |  少于50人,通信/电信/网络设备
（急聘）项目专员（委派政府职能部门）经济类专业优先,5-7千,深圳·南山区,1年,本科,"项目助理
项目专员
五险一金
周末双休
弹性工作",深圳市鼎诚技术经济评价中心,非营利组织  |  少于50人,非营利组织
经济与金融专任教师,6-8千,成都,3-4年,硕士,"教师
金融
五险一金
专业培训
免费班车
年终奖金",北京吉利学院,非营利组织  |  10000人以上,教育/培训/院校
产业研究,8千-1.5万,成都·高新区,2年,硕士,"五险一金
节日福利
周末双休
带薪年假
绩效奖金
定期体检
食堂就餐",成都新经济发展研究院,事业单位  |  50-150人,政府/公共事业
楼盘按揭（经济开发区）,3-6千,沈阳,无需经验,高中,,沈阳森旺房产信息咨询服务有限公司,民营  |  50-150人,中介服务
总部经济部门经理-成都(J12807),1.3-1.8万,成都·武侯区,3-4年,本科,"五险一金
年终奖金
专业培训
周末双休
员工旅游
通讯补贴
定期体检
绩效奖金",谷川联行有限公司,民营  |  500-1000人,多元化业务集团公司
现代经济学院院长、副院长,20-40万/年,绵阳·游仙区,3-4年,硕士,"管理
教授
思想政治
教育教学
五险一金
免费班车
餐饮补贴
绩效奖金
年终奖金
定期体检
提供住宿",绵阳城市学院,事业单位  |  10000人以上,教育/培训/院校
高级研究员,8千-1.5万,成都·高新区,3-4年,硕士,"五险一金
节日福利
周末双休
带薪年假
绩效奖金
定期体检
食堂就餐",成都新经济发展研究院,事业单位  |  50-150人,政府/公共事业
急聘市场营销储干10名/房产经济,7千-1.3万,深圳·福田区,无需经验,大专,"房地产
储备干部
实习生
应届生
营销储干
管培生
销售顾问
带薪年假
五险一金
专业培训
节日福利
绩效奖金
提供住宿
大学生团队
一对一带教
不需喝酒应酬
不出差",深圳市乐有家控股集团有限公司,民营  |  10000人以上,房地产
总部经济中级顾问-广州(J12765),1.5-2.5万,广州·海珠区,1年,本科,"五险一金
年终奖金
绩效奖金
快速发展
行业领先
重点项目
发展空间大
专业培训",谷川联行有限公司,民营  |  500-1000人,多元化业务集团公司
Economics Research Assistant 宏观经济研究助理,9千-1.4万,上海·黄浦区,无需经验,本科,"研究助理
五险一金
出国机会
绩效奖金
年终奖金
专业培训",资葳投资管理咨询（上海）有限公司,民营  ,专业服务(咨询、人力资源、财会)
国际经济与贸易教师,7千-1.2万,福州·连江县,无需经验,硕士,"五险一金
免费班车
员工旅游
餐饮补贴
年终奖金
弹性工作
教师公寓
带薪寒暑假",福州理工学院,非营利组织  |  150-500人,教育/培训/院校
